game_id,platform
28,console
28,pc
29,console
30,console
31,console
32,console
33,console
34,console
35,console
36,console
37,console
38,console
39,console
40,console
41,console
42,console
43,console
44,console
45,console
46,console
47,console
48,console
49,console
50,console
51,console
52,console
53,console
54,console
57,browser
57,mobile
57,pc
57,console
59,console
59,pc
60,console
61,console
61,pc
62,console
62,pc
63,mobile
66,browser
67,console
68,pc
69,console
69,pc
70,console
70,pc
71,console
71,pc
72,browser
73,pc
74,pc
74,console
75,pc
75,console
76,pc
76,console
76,mobile
77,console
78,console
78,pc
79,console
79,pc
80,console
81,console
82,pc
83,console
83,pc
84,console
85,pc
86,console
87,pc
88,mobile
89,mobile
89,browser
89,pc
90,mobile
90,pc
91,pc
92,pc
92,console
93,pc
93,console
93,mobile
94,mobile
95,console
96,console
96,pc
97,console
97,pc
98,console
98,pc
99,console
99,pc
100,console
101,pc
102,pc
102,console
102,mobile
103,pc
103,console
104,pc
105,pc
106,pc
106,console
107,pc
107,console
108,pc
109,mobile
110,pc
111,pc
111,console
112,pc
112,console
113,pc
113,console
114,pc
114,console
115,pc
115,console
116,pc
116,console
116,mobile
117,pc
117,console
117,mobile
117,arcade
118,pc
118,console
119,pc
120,pc
120,console
121,pc
121,console
122,pc
122,console
123,mobile
124,mobile
124,pc
125,mobile
125,console
125,pc
126,pc
127,pc
128,pc
129,console
130,pc
131,arcade
132,pc
133,pc
134,pc
135,pc
136,pc
137,pc
137,console
138,pc
139,pc
140,pc
140,console
141,console
142,pc
143,pc
143,console
144,pc
144,console
145,pc
145,arcade
145,console
145,browser
145,mobile
146,pc
146,console
147,pc
147,console
148,pc
148,console
149,console
150,mobile
150,console
151,pc
151,console
152,pc
153,pc
153,console
154,pc
155,console
156,console
157,pc
158,pc
159,pc
160,pc
160,console
161,pc
161,console
162,pc
162,console
163,pc
163,console
163,mobile
164,pc
164,console
165,pc
165,console
166,pc
166,console
167,pc
168,pc
168,console
169,pc
169,console
170,pc
170,console
171,pc
171,console
171,mobile
172,pc
172,console
173,pc
174,console
175,console
175,pc
176,console
176,pc
177,mobile
177,browser
178,console
178,pc
179,console
179,pc
180,console
180,pc
181,console
181,pc
181,mobile
182,console
182,arcade
183,mobile
184,console
184,pc
185,console
185,pc
186,console
187,arcade
187,console
188,pc
189,console
190,console
191,console
191,pc
191,browser
192,console
192,pc
192,browser
193,console
193,pc
193,mobile
194,pc
195,pc
195,console
196,pc
197,console
198,console
198,pc
198,mobile
199,pc
200,pc
201,pc
202,pc
202,console
203,pc
203,console
204,pc
204,console
205,pc
205,arcade
206,arcade
207,pc
207,console
208,pc
209,pc
209,console
210,pc
210,console
211,pc
211,console
212,pc
212,console
213,browser
213,mobile
214,console
215,console
216,mobile
217,mobile
217,console
217,pc
218,mobile
218,console
218,pc
219,mobile
219,console
219,pc
220,console
221,console
222,console
222,pc
223,console
223,pc
224,pc
225,pc
225,mobile
225,console
226,pc
227,pc
228,mobile
228,console
229,mobile
229,browser
229,pc
230,mobile
230,pc
230,arcade
230,console
231,arcade
232,pc
232,console
232,mobile
233,arcade
234,pc
235,arcade
236,console
237,pc
238,pc
238,mobile
238,console
239,console
240,pc
241,pc
242,console
242,pc
243,mobile
243,console
243,pc
244,console
244,pc
245,console
245,arcade
246,console
247,pc
248,pc
248,console
248,mobile
249,mobile
250,console
251,console
251,pc
252,mobile
252,pc
253,pc
253,console
253,browser
254,console
255,mobile
255,console
255,pc
256,mobile
257,console
257,pc
258,console
259,console
260,pc
260,console
261,mobile
262,mobile
262,console
263,pc
263,console
264,pc
264,console
265,mobile
266,pc
266,console
267,pc
268,pc
269,mobile
269,pc
270,mobile
270,pc
270,browser
271,console
272,console
272,pc
273,mobile
273,console
273,pc
274,mobile
274,browser
275,mobile
276,pc
276,console
277,mobile
277,pc
277,console
278,mobile
278,pc
278,console
279,console
280,console
280,pc
281,console
282,mobile
282,pc
282,console
283,pc
284,console
285,console
286,console
287,console
288,pc
289,pc
290,pc
291,mobile
292,console
293,console
293,pc
294,console
295,console
296,console
296,pc
297,console
298,pc
299,console
300,console
301,console
302,console
303,console
303,pc
304,console
304,pc
305,console
305,arcade
306,pc
307,mobile
308,console
309,console
309,pc
310,mobile
311,mobile
312,console
312,pc
313,console
313,pc
314,pc
315,mobile
315,pc
316,pc
317,arcade
318,arcade
319,mobile
319,pc
319,console
320,pc
321,mobile
322,mobile
322,pc
322,console
323,console
324,mobile
324,pc
324,console
325,mobile
325,pc
325,console
326,mobile
326,pc
326,console
327,mobile
327,pc
327,console
328,pc
328,console
329,mobile
330,console
330,pc
331,pc
332,mobile
333,pc
333,console
334,console
335,console
336,mobile
337,pc
338,mobile
338,pc
338,console
339,mobile
339,browser
339,pc
339,console
340,mobile
340,pc
341,mobile
342,console
343,console
344,mobile
345,pc
345,console
346,mobile
347,console
347,pc
348,console
348,pc
349,console
349,pc
350,console
351,pc
351,console
352,pc
352,console
352,mobile
353,pc
353,console
353,mobile
354,pc
354,console
355,pc
355,console
356,pc
356,console
357,pc
357,console
358,mobile
358,pc
358,console
359,mobile
360,mobile
361,console
361,pc
362,console
363,console
364,pc
365,console
365,pc
366,pc
367,pc
368,pc
369,pc
370,pc
370,console
370,mobile
371,pc
371,console
372,pc
372,console
372,mobile
373,mobile
374,pc
374,console
375,pc
376,console
376,pc
377,mobile
377,arcade
377,console
377,pc
378,mobile
378,arcade
378,console
378,pc
379,pc
380,pc
380,mobile
380,console
381,console
382,mobile
383,pc
384,console
385,console
386,pc
387,pc
388,pc
389,mobile
389,console
389,pc
390,console
391,console
391,pc
392,console
392,pc
393,mobile
393,console
393,pc
394,console
394,pc
395,console
395,pc
396,pc
397,pc
397,console
398,browser
398,console
399,console
400,mobile
400,console
401,pc
402,pc
403,console
403,pc
404,mobile
404,console
404,pc
405,mobile
405,pc
406,mobile
406,pc
406,browser
407,mobile
407,pc
407,console
408,pc
408,console
409,pc
409,console
410,pc
410,console
411,pc
411,console
412,pc
413,console
413,pc
414,console
414,pc
415,pc
416,console
417,console
418,console
419,console
420,console
421,console
422,mobile
422,console
423,pc
423,console
424,console
425,pc
425,console
426,pc
427,pc
427,console
428,pc
429,pc
429,console
430,pc
430,console
431,mobile
432,mobile
432,pc
433,mobile
433,pc
433,console
434,pc
435,pc
435,console
436,mobile
437,console
437,pc
438,mobile
439,pc
440,pc
440,console
441,mobile
441,pc
442,pc
443,mobile
444,console
445,pc
446,mobile
447,console
448,console
448,pc
449,console
449,pc
450,console
450,pc
451,console
451,pc
452,console
452,pc
453,console
454,pc
454,console
455,pc
456,pc
456,console
457,pc
457,console
458,console
459,pc
459,console
460,console
461,pc
461,mobile
462,mobile
463,pc
464,console
464,pc
465,console
465,pc
466,console
466,pc
467,console
468,console
470,mobile
471,mobile
472,mobile
473,pc
474,pc
474,console
475,pc
475,console
476,pc
476,console
477,console
478,console
478,pc
479,mobile
480,pc
481,pc
482,console
