id,name,release_year,type
23,Fallout (F),,franchise
28,Fallout 4,2015,game
29,Pokémon Black,2010,game
30,Pokémon Black 2,2012,game
31,Pokémon Blue,1998,game
32,Pokémon Crystal,2000,game
33,Pokémon Diamond,2006,game
34,Pokémon Emerald,2004,game
35,Pokémon Gold,1999,game
36,Pokémon Moon,2016,game
37,Pokémon Pearl,2006,game
38,Pokémon Platinum,2008,game
39,Pokémon Red,1998,game
40,Pokémon Ruby,2002,game
41,Pokémon Sapphire,2002,game
42,Pokémon Scarlet,2022,game
43,Pokémon Shield,2019,game
44,Pokémon Silver,1999,game
45,Pokémon Sun,2016,game
46,Pokémon Sword,2019,game
47,Pokémon UltraMoon,2017,game
48,Pokémon UltraSun,2017,game
49,Pokémon Violet,2022,game
50,Pokémon White,2010,game
51,Pokémon White 2,2012,game
52,Pokémon X,2013,game
53,Pokémon Y,2013,game
54,Pokémon Yellow,1998,game
55,Pokémon (F),,franchise
56,Minecraft (F),,franchise
57,Minecraft,2010,game
58,Monster Hunter (F),,franchise
59,Monster Hunter: Rise,2021,game
60,New Pokémon Snap,2021,game
61,Dredge,2023,game
62,Red Dead Redemption 2,2018,game
63,Ridiculous Fishing,2013,game
64,Red Dead (F),,franchise
