id,publication_type,name
11,journal_article,Resilience: A Journal of the Environmental Humanities
13,journal_article,Transformations
14,journal_article,Geoscience Communication
15,journal_article,Comunicazioni sociali
16,book_chapter,Ecogames: Playful Perspectives on the Climate Crisis
17,conference_proceeding,Proceedings of DiGRA 2024
18,book,Playing Nature: Ecology in Video Games
19,journal_article,Ecosphere
20,journal_article,People and Nature
21,journal_article,Journal of Gaming & Virtual Worlds
22,conference_proceeding,2024 IEEE Conference on Games
23,conference_proceeding,Proceedings of the 19th International Conference on the Foundations of Digital Games (FDG 2024)
24,journal_article,Conservation Letters
26,journal_article,Music and the Moving Image
27,journal_article,Popular Culture Review
28,journal_article,Ambio
29,journal_article,Humanities & Social Sciences Communications
30,journal_article,AI & Society
31,industry_report,Playing for the Planet Annual Impact Report 2023
