id,research_type,description,data_type,exposure_duration,comparator,control_group,pilot_study,sample_type,sample_size,age_range,power_analysis,pre_post_measures,follow_up,paper_id
4,non_experimental,"Played/read transcripts for mainline games, referred to Bulbapedia database, compared observations of ecology and conservation-related terms within games and IPCC/UN documents",qualitative,,,f,f,Games (main series),26,"(,)",f,f,f,10
5,non_experimental,Content analysis of online discourse (Facebook and YouTube),mixed,,,f,f,Online posts and comments,"~600 posts; ~50,000 comments","(,)",f,f,f,11
6,non_experimental,Interviews (semi-structured),qualitative,,,f,f,Campaign organisers,4,"(,)",f,f,f,11
7,non_experimental,Content/sentiment analysis of online discourse (YouTube),mixed,,,f,f,Online comments,"3,787","(,)",f,f,f,264
8,non_experimental,Interviews (semi-structured),qualitative,,,f,f,Campaign organisers,4,"(,)",f,f,f,264
10,non_experimental,Content analysis of Green Game Jam winners 2023 to classify adaptations to existing games,qualitative,,,f,f,Game(s),10,"(,)",f,f,f,265
11,non_experimental,Comparative critical play (played solo and cooperatively),qualitative,2 years (total),,f,f,Game(s),4,"(,)",f,f,f,266
12,non_experimental,Content analysis of LBGs' features and mechanics based on authors' play,qualitative,>= 10 hours per game,,f,f,Game(s),8,"(,)",f,f,f,267
13,non_experimental,Played game to record observations of environmental content,qualitative,>700 hours (total),,f,f,Game(s),2,"(,)",f,f,f,268
14,non_experimental,"Multimodal framing analysis to study in-game ecological dead zone, players'' online responses to it, and how it is (re)framed via user-generated content",qualitative,,,f,f,Game(s),1,"(,)",f,f,f,270
15,non_experimental,Content analysis based on taxonomic assessments of in-game species relative to their real-world inspirations/counterparts,qualitative,,,f,f,Game(s),[null],"(,)",f,f,f,272
16,non_experimental,Content analysis based on taxonomic assessments of in-game species relative to their real-world inspirations/counterparts,qualitative,,,f,f,Game(s),,"(,)",f,f,f,273
17,non_experimental,"Content analysis of how game audio depicts ''green medievalist'' stereotypes of nature, ecology, and the past",qualitative,,,f,f,Game(s),45,"(,)",f,f,f,275
18,non_experimental,Content analysis using (and refining) the assessment index system framework to assess how sustainability is presented in city-building games,qualitative,,,f,t,Game(s),7,"(,)",f,f,f,277
19,non_experimental,"Played in-game environments and observed how they react to player''s presence, and what actions can be performed by players",qualitative,5 hours per game,,f,f,Game(s),2,"(,)",f,f,f,282
20,non_experimental,Content analysis based on taxonomic assessments of in-game species relative to their real-world inspirations/counterparts,qualitative,,,f,f,Game(s),,"(,)",f,f,f,283
21,non_experimental,Content analysis based on taxonomic assessments of in-game species relative to their real-world inspirations/counterparts,mixed,,,f,f,Game(s),,"(,)",f,f,f,286
22,non_experimental,Content analysis based on taxonomic assessments of in-game species relative to their real-world inspirations/counterparts,qualitative,,,f,f,Game(s),2,"(,)",f,f,f,287
24,non_experimental,"Immersive-participatory method - Collected data from own gameplay as well as digital archives of games dated between 2016-2022 (inc. game websites, game wikis, game forum, and game media)",qualitative,400 hours (total),,f,f,Game(s),2,"(,)",f,f,f,293
26,non_experimental,"Autoethnographic: Combining in-game wandering, slow play, and ludic bordeom to connect with in-game nature",qualitative,,,f,f,Game(s),1,"(,)",f,f,f,297
27,non_experimental,Content analysis of virtual landscapes which are compared to real-world ones; based on in-depth gameplay and evaluated by topic-relevant experts,mixed,,,f,f,Game(s),16,"(,)",f,f,f,298
28,non_experimental,Content analysis of virtual landscapes which are compared to real-world ones; based on in-depth gameplay and evaluated by topic-relevant experts,mixed,,,f,f,Game(s),21,"(,)",f,f,f,299
29,non_experimental,Played game and used sketching (annotating screenshots) to infer meaning,qualitative,2 days,,f,f,Game(s),1,"(,)",f,f,f,300
30,non_experimental,"Autoethnographic analysis, based on thick description of gameplay fieldwork",qualitative,4 months,,f,f,Game(s),1,"(,)",f,f,f,301
31,non_experimental,"Played game as part of a close reading, focusing on acoustic environment",qualitative,,,f,f,Game(s),1,"(,)",f,f,f,302
32,non_experimental,"Played game as part of a close reading, focusing on acoustic environment",qualitative,,,f,f,Game(s),1,"(,)",f,f,f,303
33,non_experimental,Autoethnographic gameplay analysis,qualitative,,,f,f,Game(s),1,"(,)",f,f,f,304
34,non_experimental,Content analysis based on taxonomic assessments of in-game species relative to their real-world inspirations/counterparts,qualitative,,,f,f,Game(s),,"(,)",f,f,f,305
35,non_experimental,Content analysis based on taxonomic assessments of in-game species relative to their real-world inspirations/counterparts,qualitative,,,f,f,Game(s),,"(,)",f,f,f,306
